beaconNum,beaconAddr
64686,f9:79:bd:be:99:bf
64692,c8:03:83:4f:aa:42
28000,ac:23:3f:23:c7:a6
91000,ac:23:3f:24:0b:ce
91001,ac:23:3f:24:0b:cf
91002,ac:23:3f:24:0b:d3
91003,ac:23:3f:24:0b:c7
91004,ac:23:3f:24:0b:d7
91005,ac:23:3f:24:0b:d1
28001,ac:23:3f:24:0b:da
28002,ac:23:3f:24:0b:d5
28003,ac:23:3f:24:0c:e4
28004,ac:23:3f:24:0b:d9
28005,ac:23:3f:24:0b:d0
28006,ac:23:3f:24:0b:d8
28007,ac:23:3f:24:0c:eb
28008,ac:23:3f:24:0b:d6
28009,ac:23:3f:24:0b:d4
28010,ac:23:3f:24:0b:c8
28011,ac:23:3f:24:0c:36
28012,ac:23:3f:24:0c:35
28013,ac:23:3f:24:0c:39
28014,ac:23:3f:24:0c:37
28015,ac:23:3f:24:0c:33
28016,ac:23:3f:24:0c:3d
28017,ac:23:3f:24:0c:34
28018,ac:23:3f:24:0c:6a
28019,ac:23:3f:24:0c:67
28020,ac:23:3f:24:0c:6b
28021,ac:23:3f:24:0c:32
28022,ac:23:3f:24:0c:3e
28023,ac:23:3f:24:0c:38
28024,ac:23:3f:24:0c:3a
28025,ac:23:3f:24:0c:2b
28026,ac:23:3f:24:0c:30
28027,ac:23:3f:24:0c:2d
28028,ac:23:3f:24:0c:2c
28029,ac:23:3f:24:0c:3c
28030,ac:23:3f:24:0c:3b
28031,ac:23:3f:24:0d:0c
28032,ac:23:3f:24:0d:0b
28033,ac:23:3f:24:0d:19
28034,ac:23:3f:24:0d:1a
28035,ac:23:3f:24:0d:0d
28036,ac:23:3f:24:0d:13
28037,ac:23:3f:24:0d:07
28038,ac:23:3f:24:0d:0e
28039,ac:23:3f:24:0d:15
28040,ac:23:3f:24:0d:14
28041,ac:23:3f:24:0d:09
28042,ac:23:3f:24:0d:08
28043,ac:23:3f:24:0d:10
28044,ac:23:3f:24:0d:0f
28045,ac:23:3f:24:0d:0a
28046,ac:23:3f:24:0d:16
28047,ac:23:3f:24:0d:11
28048,ac:23:3f:24:0d:17
28049,ac:23:3f:24:0d:12
28050,ac:23:3f:24:0d:18
28051,ac:23:3f:24:0c:68
28052,ac:23:3f:24:0c:d0
28053,ac:23:3f:24:0c:78
28054,ac:23:3f:24:0c:79
28055,ac:23:3f:24:0c:72
28056,ac:23:3f:24:0c:71
28057,ac:23:3f:24:0c:69
28058,ac:23:3f:24:0c:a1
28059,ac:23:3f:24:0c:75
28060,ac:23:3f:24:0c:7a
28061,ac:23:3f:24:0c:77
28062,ac:23:3f:24:0c:76
28063,ac:23:3f:24:0c:6f
28064,ac:23:3f:24:0c:6e
28065,ac:23:3f:24:0c:6d
28066,ac:23:3f:24:0c:73
28067,ac:23:3f:24:0c:6c
28068,ac:23:3f:24:0c:74
28069,ac:23:3f:24:0c:03
28070,ac:23:3f:24:0c:70
28071,ac:23:3f:24:0b:55
28072,ac:23:3f:24:0b:5a
28073,ac:23:3f:24:0b:57
28074,ac:23:3f:24:0b:5d
28075,ac:23:3f:24:0b:61
28076,ac:23:3f:24:0b:60
28077,ac:23:3f:24:0b:58
28078,ac:23:3f:24:0b:62
28079,ac:23:3f:24:0c:a5
28080,ac:23:3f:24:0c:a3
28081,ac:23:3f:24:0b:56
28082,ac:23:3f:24:0b:5b
28083,ac:23:3f:24:0b:5e
28084,ac:23:3f:24:0b:5c
28085,ac:23:3f:24:0b:51
28086,ac:23:3f:24:0b:50
28087,ac:23:3f:24:0b:5f
28088,ac:23:3f:24:0b:59
28089,ac:23:3f:24:0b:4f
28090,ac:23:3f:24:0b:54
28091,ac:23:3f:24:0c:ef
28092,ac:23:3f:24:0c:e9
28093,ac:23:3f:24:0c:e7
28094,ac:23:3f:24:0c:ed
28095,ac:23:3f:24:0c:e8
28096,ac:23:3f:24:0c:f0
28097,ac:23:3f:24:0c:f2
28098,ac:23:3f:24:0c:f1
28099,ac:23:3f:24:0d:1d
28100,ac:23:3f:24:0d:1e
62000,ac:23:3f:24:0c:ec
62001,ac:23:3f:24:0c:ee
62002,ac:23:3f:24:0c:ea
62003,ac:23:3f:24:0c:e5
62004,ac:23:3f:24:0c:e3
62005,ac:23:3f:24:0c:df
62006,ac:23:3f:24:0c:e6
62007,ac:23:3f:24:0c:e0
62008,ac:23:3f:24:0c:e1
62009,ac:23:3f:24:0c:e2
